,0,1,2,3,4,5,6
18,gr57bu40,1e-05,probzip,-805.0891483951136,-963.4090252356137,"[7.773748647391314, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.233447700823392, 5.93030402287195, 1.5508842758936243]","[7.773748647391315, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.23344770082339, 5.93030402287195, 1.5508842758936243]"
19,gr57bu40,0.0001,probzip,-787.6665052670145,-995.8135812382423,"[7.773748647391314, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.233447700823392, 5.93030402287195, 1.5508842758936243]","[7.773748647391315, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.23344770082339, 5.93030402287195, 1.5508842758936243]"
20,gr57bu40,0.001,probzip,-796.7353656968257,-958.2057624867406,"[7.773748647391314, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.233447700823392, 5.93030402287195, 1.5508842758936243]","[7.773748647391315, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.23344770082339, 5.93030402287195, 1.5508842758936243]"
21,gr57bu40,0.01,probzip,-914.1007513090951,-1058.9729347172558,"[7.773748647391314, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.233447700823392, 5.93030402287195, 1.5508842758936243]","[7.773748647391315, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.23344770082339, 5.93030402287195, 1.5508842758936243]"
22,gr57bu40,0.1,probzip,-983.2298754668641,-1009.6489119848226,"[7.773748647391314, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.233447700823392, 5.93030402287195, 1.5508842758936243]","[7.773748647391315, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.23344770082339, 5.93030402287195, 1.5508842758936243]"
23,gr57bu40,1.0,probzip,-1907.9817116758288,-1897.967487484538,"[7.773748647391314, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.233447700823392, 5.93030402287195, 1.5508842758936243]","[7.773748647391315, 7.888952647586283, 7.588914028568085, 7.862444464775786, 8.024585646216932, 8.23344770082339, 5.93030402287195, 1.5508842758936243]"
24,gr58bu60,1e-07,probzip,-534.4007680247644,-647.5122468458483,"[7.888307701752907, 7.717788617279214, 7.911210781578227, 7.716524887804426, 7.882916664159227, 8.183795117156533, 6.391493880739574, 2.1080990692293375]","[7.888307701752906, 7.717788617279213, 7.911210781578226, 7.716524887804427, 7.882916664159227, 8.183795117156533, 6.391493880739575, 2.108099069229337]"
25,gr58bu60,1e-06,probzip,-578.1302243852524,-699.6557598371014,"[7.888307701752907, 7.717788617279214, 7.911210781578227, 7.716524887804426, 7.882916664159227, 8.183795117156533, 6.391493880739574, 2.1080990692293375]","[7.888307701752906, 7.717788617279213, 7.911210781578226, 7.716524887804427, 7.882916664159227, 8.183795117156533, 6.391493880739575, 2.108099069229337]"
26,gr58bu60,1e-05,probzip,-591.1567706573475,-709.5140970565276,"[7.888307701752907, 7.717788617279214, 7.911210781578227, 7.716524887804426, 7.882916664159227, 8.183795117156533, 6.391493880739574, 2.1080990692293375]","[7.888307701752906, 7.717788617279213, 7.911210781578226, 7.716524887804427, 7.882916664159227, 8.183795117156533, 6.391493880739575, 2.108099069229337]"
27,gr58bu60,0.0001,probzip,-594.6248612771626,-685.432639341705,"[7.888307701752907, 7.717788617279214, 7.911210781578227, 7.716524887804426, 7.882916664159227, 8.183795117156533, 6.391493880739574, 2.1080990692293375]","[7.888307701752906, 7.717788617279213, 7.911210781578226, 7.716524887804427, 7.882916664159227, 8.183795117156533, 6.391493880739575, 2.108099069229337]"
28,gr58bu60,0.001,probzip,-592.0188337373554,-702.9807448820058,"[7.888307701752907, 7.717788617279214, 7.911210781578227, 7.716524887804426, 7.882916664159227, 8.183795117156533, 6.391493880739574, 2.1080990692293375]","[7.888307701752906, 7.717788617279213, 7.911210781578226, 7.716524887804427, 7.882916664159227, 8.183795117156533, 6.391493880739575, 2.108099069229337]"
29,gr58bu60,0.01,probzip,-631.3605274121301,-749.7513588862513,"[7.888307701752907, 7.717788617279214, 7.911210781578227, 7.716524887804426, 7.882916664159227, 8.183795117156533, 6.391493880739574, 2.1080990692293375]","[7.888307701752906, 7.717788617279213, 7.911210781578226, 7.716524887804427, 7.882916664159227, 8.183795117156533, 6.391493880739575, 2.108099069229337]"
30,gr58bu60,0.1,probzip,-695.6027525813129,-744.4750115947232,"[7.888307701752907, 7.717788617279214, 7.911210781578227, 7.716524887804426, 7.882916664159227, 8.183795117156533, 6.391493880739574, 2.1080990692293375]","[7.888307701752906, 7.717788617279213, 7.911210781578226, 7.716524887804427, 7.882916664159227, 8.183795117156533, 6.391493880739575, 2.108099069229337]"
31,gr58bu60,1.0,probzip,-1206.4382324170433,-1209.3228301315814,"[7.888307701752907, 7.717788617279214, 7.911210781578227, 7.716524887804426, 7.882916664159227, 8.183795117156533, 6.391493880739574, 2.1080990692293375]","[7.888307701752906, 7.717788617279213, 7.911210781578226, 7.716524887804427, 7.882916664159227, 8.183795117156533, 6.391493880739575, 2.108099069229337]"
32,rd82wh13,1e-07,probzip,-591.3726351024541,-734.3652787233385,"[7.642842046484857, 7.785379147096313, 7.754058467002975, 7.866520691756189, 7.734528741935851, 8.351226590717685, 5.974449472202186, 1.653174291957185]","[7.6428420464848585, 7.785379147096313, 7.754058467002969, 7.866520691756189, 7.7345287419358515, 8.351226590717683, 5.9744494722021875, 1.6531742919571852]"
33,rd82wh13,1e-06,probzip,-498.53195468669634,-590.1711903116033,"[7.642842046484857, 7.785379147096313, 7.754058467002975, 7.866520691756189, 7.734528741935851, 8.351226590717685, 5.974449472202186, 1.653174291957185]","[7.6428420464848585, 7.785379147096313, 7.754058467002969, 7.866520691756189, 7.7345287419358515, 8.351226590717683, 5.9744494722021875, 1.6531742919571852]"
34,rd82wh13,1e-05,probzip,-490.2516124836173,-579.9957687616621,"[7.642842046484857, 7.785379147096313, 7.754058467002975, 7.866520691756189, 7.734528741935851, 8.351226590717685, 5.974449472202186, 1.653174291957185]","[7.6428420464848585, 7.785379147096313, 7.754058467002969, 7.866520691756189, 7.7345287419358515, 8.351226590717683, 5.9744494722021875, 1.6531742919571852]"
