,0,1,2,3,4
88,rd49rd79,0.1,probzip,-576.8721524227191,-604.3153283601653
89,rd49rd79,1.0,probzip,-1065.5412523733353,-1064.4040541029246
90,wh08pk40,1.0,HCRP,-3163.0115123743626,-2074.087802477984
91,wh08pk40,10.0,HCRP,-3653.682634939443,-1421.7762991286922
92,wh08pk40,100.0,HCRP,-4752.615373175086,-1377.3776004404974
93,wh08pk40,1000.0,HCRP,-7650.264724188415,-1940.8115053754673
94,wh08pk40,10000.0,HCRP,-19292.38926940216,-4751.969376906689
95,wh08pk40,100000.0,HCRP,-36251.13089507686,-8945.50376386659
96,wh08pk40,1000000.0,HCRP,-44153.69794779274,-10909.085948138556
97,wh08pk40,1e-07,probzip,-470.1403111583681,-528.8935818035116
98,wh08pk40,1e-06,probzip,-487.91421068719137,-561.628166820397
99,wh08pk40,1e-05,probzip,-453.5174981368058,-535.4671862180811
100,wh08pk40,0.0001,probzip,-493.7416912113474,-538.9699685761439
101,wh08pk40,0.001,probzip,-426.18889578745024,-483.8229562242588
102,wh08pk40,0.01,probzip,-451.5873707382513,-517.3098474546895
103,wh08pk40,0.1,probzip,-561.4160117206512,-622.6982956642157
104,wh08pk40,1.0,probzip,-880.8704762665669,-915.5077219663502
105,wh09pk88,1.0,HCRP,-6027.725335214358,-2496.5449178000113
106,wh09pk88,10.0,HCRP,-6474.5563684963545,-1988.7728485637108
107,wh09pk88,100.0,HCRP,-7425.6822749378625,-1971.6926107078598
108,wh09pk88,1000.0,HCRP,-9686.35987885671,-2404.736526321172
109,wh09pk88,10000.0,HCRP,-22005.11953079119,-5416.972062363579
110,wh09pk88,100000.0,HCRP,-52501.08902098572,-12897.445829234082
111,wh09pk88,1000000.0,HCRP,-73150.13814968744,-17944.6726483985
112,wh09pk88,1e-07,probzip,-677.2773928337247,-772.1238734264213
113,wh09pk88,1e-06,probzip,-656.4616150089923,-800.7935233050458
114,wh09pk88,1e-05,probzip,-668.455384510347,-776.6567985131417
115,wh09pk88,0.0001,probzip,-660.7565658598813,-761.7053462355077
116,wh09pk88,0.001,probzip,-612.709155985577,-718.2842519584981
117,wh09pk88,0.01,probzip,-852.097039925064,-970.2628087924156
118,wh09pk88,0.1,probzip,-744.5769456887099,-838.6262382093039
119,wh09pk88,1.0,probzip,-1413.4954109479843,-1443.5517856115066
