,0,1,2,3,4
0,bu86bu48,1.0,HCRP,-2914.3679819878616,-2435.0855315335884
1,bu86bu48,10.0,HCRP,-3593.068592598597,-1527.7692338531538
2,bu86bu48,100.0,HCRP,-5058.225124951896,-1488.9249271146286
3,bu86bu48,1000.0,HCRP,-8136.321712950011,-2121.207440558689
4,bu86bu48,10000.0,HCRP,-18741.974656332946,-4752.385831724132
5,bu86bu48,100000.0,HCRP,-32398.46162879765,-8133.239167988028
6,bu86bu48,1000000.0,HCRP,-38232.65173678836,-9572.96480135144
7,bu86bu48,1e-07,probzip,-456.0074725320827,-530.2126077303029
8,bu86bu48,1e-06,probzip,-431.06552946606035,-494.09334609500934
9,bu86bu48,1e-05,probzip,-488.58497967976336,-568.4345221285429
10,bu86bu48,0.0001,probzip,-496.02979394046633,-573.1102999583258
11,bu86bu48,0.001,probzip,-546.8980060764175,-638.0936762565924
12,bu86bu48,0.01,probzip,-498.3371865248893,-552.7483250300343
13,bu86bu48,0.1,probzip,-584.8270947663386,-589.327375892276
14,bu86bu48,1.0,probzip,-860.0574008348386,-882.190398932596
15,gr54bu78,1.0,HCRP,-3062.382713193004,-6291.1855329713235
16,gr54bu78,10.0,HCRP,-5383.267817156206,-3718.925977596836
17,gr54bu78,100.0,HCRP,-9838.089642342491,-3320.5522464636747
18,gr54bu78,1000.0,HCRP,-14864.634221053399,-3944.220385825046
19,gr54bu78,10000.0,HCRP,-27792.226717176567,-6908.836034787319
20,gr54bu78,100000.0,HCRP,-44787.958646586994,-10920.00882976034
21,gr54bu78,1000000.0,HCRP,-52191.2672012663,-12659.430940786235
22,gr54bu78,1e-07,probzip,-453.1114175765643,-543.1706972809922
23,gr54bu78,1e-06,probzip,-453.2275110889553,-530.2849122052751
24,gr54bu78,1e-05,probzip,-424.16930040802407,-504.90405414525037
25,gr54bu78,0.0001,probzip,-447.4580579654291,-533.31826743557
26,gr54bu78,0.001,probzip,-499.8399782417027,-596.3046081675934
27,gr54bu78,0.01,probzip,-531.2857639126423,-594.564037165835
28,gr54bu78,0.1,probzip,-569.5360896213471,-618.0153630165119
29,gr54bu78,1.0,probzip,-1176.9699093249212,-1156.942650909356
30,gr57bu40,1.0,HCRP,-5057.506952868836,-9277.140642908162
31,gr57bu40,10.0,HCRP,-8590.73820551241,-5485.412147702344
32,gr57bu40,100.0,HCRP,-15002.561765355595,-4875.539831228419
33,gr57bu40,1000.0,HCRP,-21539.524620363827,-5646.049436653033
34,gr57bu40,10000.0,HCRP,-38588.54551041062,-9730.72485121108
35,gr57bu40,100000.0,HCRP,-64807.97004551722,-16279.683271959208
36,gr57bu40,1000000.0,HCRP,-76879.77665851556,-19292.403702210406
37,gr57bu40,1e-07,probzip,-801.3796073774866,-980.8160720847036
38,gr57bu40,1e-06,probzip,-756.8097359998783,-953.8097377490667
39,gr57bu40,1e-05,probzip,-820.861647900134,-993.847808529524
40,gr57bu40,0.0001,probzip,-779.2693697668994,-985.2032626443988
41,gr57bu40,0.001,probzip,-769.3817367985621,-930.9629482143324
42,gr57bu40,0.01,probzip,-895.9470130870776,-999.430367882803
43,gr57bu40,0.1,probzip,-990.508581580263,-1054.5278280327377
44,gr57bu40,1.0,probzip,-1924.7488899416164,-1952.4023345452404
45,gr58bu60,1.0,HCRP,-4429.860478030934,-3519.942431133794
46,gr58bu60,10.0,HCRP,-5416.096163851439,-2408.34036260832
47,gr58bu60,100.0,HCRP,-7113.232431859149,-2237.3483577734833
48,gr58bu60,1000.0,HCRP,-10185.314354828535,-2766.952246031324
49,gr58bu60,10000.0,HCRP,-23135.393255329534,-6142.1066316188835
50,gr58bu60,100000.0,HCRP,-42426.72479714173,-11288.183347777574
51,gr58bu60,1000000.0,HCRP,-50805.67924547245,-13529.908372544574
52,gr58bu60,1e-07,probzip,-580.047017612778,-656.258810451276
53,gr58bu60,1e-06,probzip,-649.7901329242286,-744.6693839518
54,gr58bu60,1e-05,probzip,-534.1568466796385,-658.6209282672659
